,0
2052,13
2053,41
2054,61
2055,72
2056,52
2057,74
2058,69
2059,38
2060,17
2061,29
2062,36
2063,34
2064,54
2065,57
2066,70
2067,65
2068,32
2069,21
2070,44
2071,40
2072,41
2073,36
2074,42
2075,50
2076,29
2077,64
2078,32
2079,48
2080,37
2081,44
2082,46
2083,33
2084,70
2085,61
2086,51
2087,55
2088,71
2089,75
2090,42
2091,31
2092,34
2093,54
2094,46
2095,38
2096,75
2097,57
2098,55
2099,61
2100,23
2101,19
2102,44
2103,61
2104,43
2105,65
2106,62
2107,73
2108,61
2109,54
2110,75
2111,67
2112,59
2113,37
2114,71
2115,55
2116,61
2117,57
2118,33
2119,57
2120,58
2121,63
2122,72
2123,56
2124,27
2125,15
2126,29
2127,35
2128,34
2129,48
2130,55
2131,61
2132,59
2133,42
2134,21
2135,73
2136,20
2137,65
2138,70
2139,39
2140,62
2141,25
2142,86
2143,7
2144,48
2145,43
2146,61
2147,75
2148,31
2149,67
2150,47
2151,39
2152,41
2153,55
2154,37
2155,35
2156,41
2157,37
2158,47
2159,46
2160,18
2161,36
2162,59
2163,59
2164,54
2165,28
2166,41
2167,40
2168,28
2169,44
2170,36
2171,33
2172,58
2173,53
2174,48
2175,70
2176,66
2177,68
2178,52
2179,67
2180,60
2181,77
2182,50
2183,50
2184,59
2185,67
2186,45
2187,61
2188,52
2189,42
2190,15
2191,15
2192,67
2193,34
2194,48
2195,37
2196,58
2197,63
2198,41
2199,21
2200,64
2201,35
2202,59
2203,79
2204,50
2205,54
2206,28
2207,73
2208,40
2209,29
2210,80
2211,47
2212,46
2213,30
2214,75
2215,53
2216,37
2217,30
2218,45
2219,63
2220,43
2221,34
2222,37
2223,21
2224,54
2225,33
2226,61
2227,63
2228,74
2229,78
2230,53
2231,12
2232,35
2233,65
2234,34
2235,47
2236,38
2237,56
2238,27
2239,20
2240,48
2241,79
2242,37
2243,30
2244,39
2245,36
2246,51
2247,91
2248,33
2249,60
2250,71
2251,49
2252,80
2253,73
2254,35
2255,20
2256,29
2257,30
2258,34
2259,47
2260,45
2261,62
2262,34
2263,21
2264,21
2265,22
2266,20
2267,51
2268,69
2269,68
2270,54
2271,30
2272,70
2273,23
2274,50
2275,50
2276,42
2277,39
2278,39
2279,77
2280,58
2281,44
2282,48
2283,47
2284,67
2285,28
2286,22
2287,25
2288,33
2289,48
2290,32
2291,45
2292,58
2293,51
2294,54
2295,22
2296,23
2297,39
2298,44
2299,52
2300,58
2301,64
2302,78
2303,37
2304,51
2305,60
2306,71
2307,78
2308,38
2309,63
2310,44
2311,61
2312,39
2313,28
2314,62
2315,66
2316,44
2317,68
2318,48
2319,30
2320,21
2321,0
2322,34
2323,34
2324,43
2325,55
2326,58
2327,36
2328,72
2329,21
2330,55
2331,60
2332,55
2333,53
2334,51
2335,33
2336,33
2337,67
2338,20
2339,37
2340,40
2341,42
2342,55
2343,24
2344,70
2345,62
2346,45
2347,49
2348,73
2349,81
2350,36
2351,42
2352,41
2353,31
2354,47
2355,32
2356,46
2357,48
2358,55
2359,61
2360,3
2361,41
2362,38
2363,62
2364,46
2365,57
2366,63
2367,68
2368,44
2369,58
2370,72
2371,50
2372,71
2373,40
2374,87
2375,56
2376,61
2377,43
2378,53
2379,56
2380,79
2381,52
2382,61
2383,47
2384,39
2385,15
2386,29
2387,35
2388,34
2389,48
2390,55
2391,56
2392,59
2393,33
2394,21
2395,70
2396,40
2397,59
2398,93
2399,42
2400,61
2401,37
2402,71
2403,17
2404,24
2405,47
2406,35
2407,75
2408,20
2409,63
2410,56
2411,18
2412,47
2413,58
2414,66
2415,33
2416,36
2417,39
2418,36
2419,68
2420,36
2421,44
2422,65
2423,51
2424,54
2425,41
2426,23
2427,43
2428,35
2429,43
2430,41
2431,44
2432,46
2433,29
2434,31
2435,59
2436,56
2437,52
2438,45
2439,69
2440,49
2441,74
2442,52
2443,42
2444,72
2445,86
2446,50
2447,69
2448,81
2449,35
2450,21
2451,29
2452,37
2453,34
2454,71
2455,37
2456,29
2457,41
2458,27
2459,21
2460,55
2461,36
2462,58
2463,69
2464,44
2465,53
2466,31
2467,71
2468,13
2469,72
2470,40
2471,44
2472,65
2473,34
2474,66
2475,51
2476,67
2477,48
2478,75
2479,46
2480,44
2481,27
2482,23
2483,22
2484,54
2485,26
2486,27
2487,41
2488,48
2489,47
2490,24
2491,23
2492,29
2493,42
2494,41
2495,40
2496,49
2497,84
2498,57
2499,46
2500,50
2501,63
2502,42
2503,57
2504,41
2505,26
2506,53
2507,46
2508,45
2509,52
2510,68
2511,54
2512,80
2513,80
2514,42
2515,27
2516,32
2517,38
2518,34
2519,48
2520,49
2521,52
2522,48
2523,33
2524,34
2525,43
2526,40
2527,49
2528,47
2529,32
2530,43
2531,32
2532,67
2533,17
2534,43
2535,50
2536,38
2537,65
2538,25
2539,79
2540,66
2541,49
2542,56
2543,56
2544,53
2545,36
2546,40
2547,31
2548,38
2549,41
2550,47
2551,16
2552,59
2553,38
2554,63
2555,28
2556,19
2557,39
2558,68
2559,43
2560,59
2561,65
2562,78
2563,51
2564,38
2565,84
2566,71
2567,62
2568,38
2569,64
2570,52
2571,50
2572,39
2573,40
2574,97
2575,73
2576,45
2577,78
2578,58
2579,28
2580,18
2581,26
2582,35
2583,65
2584,56
2585,56
2586,69
2587,73
2588,48
2589,75
2590,80
2591,60
2592,57
2593,60
2594,46
2595,60
2596,18
2597,85
2598,18
2599,20
2600,57
2601,43
2602,45
2603,25
2604,74
2605,58
2606,36
2607,52
2608,59
2609,66
2610,45
2611,26
2612,46
2613,44
2614,59
2615,48
2616,50
2617,46
2618,58
2619,33
2620,46
2621,56
2622,46
2623,33
2624,43
2625,31
2626,43
2627,67
2628,39
2629,42
2630,62
2631,62
2632,67
2633,45
2634,68
2635,64
2636,70
2637,60
2638,31
2639,77
2640,69
2641,50
2642,60
2643,60
2644,22
2645,13
2646,51
2647,41
2648,34
2649,47
2650,43
2651,59
2652,52
2653,49
2654,21
2655,76
2656,20
2657,56
2658,69
2659,42
2660,61
2661,27
2662,68
2663,20
2664,30
2665,33
2666,25
2667,91
2668,11
2669,55
2670,65
2671,33
2672,43
2673,63
2674,63
2675,38
2676,20
2677,39
2678,34
2679,61
2680,25
2681,42
2682,56
2683,64
2684,58
2685,33
2686,41
2687,40
2688,47
2689,35
2690,64
2691,48
2692,59
2693,38
2694,22
2695,48
2696,42
2697,61
2698,49
2699,61
2700,53
2701,60
2702,36
2703,48
2704,68
2705,80
2706,52
2707,77
2708,77
2709,30
2710,12
2711,21
2712,33
2713,34
2714,46
2715,37
2716,48
2717,53
2718,62
2719,21
2720,55
2721,39
2722,60
2723,75
2724,15
2725,59
2726,25
2727,70
2728,14
2729,45
2730,63
2731,41
2732,59
2733,33
2734,75
2735,56
2736,32
2737,42
2738,42
2739,57
2740,37
2741,50
2742,25
2743,20
2744,54
2745,29
2746,38
2747,43
2748,52
2749,54
2750,35
2751,34
2752,55
2753,82
2754,62
2755,61
2756,49
2757,82
2758,43
2759,35
2760,72
2761,59
2762,43
2763,11
2764,41
2765,30
2766,43
2767,34
2768,38
2769,51
2770,69
2771,51
2772,70
2773,57
2774,38
2775,20
2776,47
2777,41
2778,34
2779,53
2780,56
2781,59
2782,60
2783,30
2784,21
2785,46
2786,50
2787,55
2788,67
2789,0
2790,70
2791,23
2792,68
2793,20
2794,40
2795,45
2796,41
2797,32
2798,27
2799,68
2800,63
2801,58
2802,52
2803,53
2804,60
2805,30
2806,28
2807,34
2808,30
2809,52
2810,42
2811,43
2812,30
2813,48
2814,51
2815,40
2816,43
2817,30
2818,42
2819,42
2820,48
2821,64
2822,81
2823,67
2824,39
2825,57
2826,48
2827,76
2828,37
2829,57
2830,36
2831,55
2832,52
2833,34
2834,59
2835,52
2836,63
2837,62
2838,43
2839,39
2840,21
2841,9
2842,40
2843,34
2844,46
2845,46
2846,67
2847,76
2848,32
2849,21
2850,74
2851,40
2852,56
2853,70
2854,34
2855,62
2856,36
2857,72
2858,11
2859,54
2860,43
2861,38
2862,57
2863,22
2864,69
2865,57
2866,36
2867,50
2868,55
2869,72
2870,41
2871,41
2872,47
2873,51
2874,75
2875,32
2876,62
2877,60
2878,55
2879,69
2880,28
2881,67
2882,39
2883,55
2884,51
2885,28
2886,48
2887,56
2888,48
2889,56
2890,64
2891,48
2892,55
2893,45
2894,81
2895,54
2896,65
2897,43
2898,51
2899,71
2900,73
2901,47
2902,75
2903,66
2904,40
2905,16
2906,29
2907,26
2908,34
2909,48
2910,43
2911,52
2912,57
2913,43
2914,37
2915,61
2916,41
2917,56
2918,82
2919,44
2920,78
2921,21
2922,72
2923,32
2924,58
2925,17
2926,46
2927,65
2928,35
2929,75
2930,48
2931,46
2932,43
2933,40
2934,52
2935,35
2936,27
2937,35
2938,34
2939,64
2940,29
2941,34
2942,63
2943,59
2944,81
2945,44
2946,96
2947,47
2948,54
2949,71
2950,42
2951,46
2952,63
2953,38
2954,20
2955,49
2956,30
2957,59
2958,25
2959,48
2960,38
2961,54
2962,41
2963,49
2964,65
2965,68
2966,40
2967,80
2968,71
2969,41
2970,24
2971,29
2972,32
2973,34
2974,52
2975,46
2976,62
2977,63
2978,21
2979,21
2980,29
2981,32
2982,60
2983,60
2984,46
2985,52
2986,27
2987,67
2988,16
2989,39
2990,67
2991,40
2992,13
2993,15
2994,63
2995,53
2996,27
2997,51
